class|type|item|description
pizza|Veggie|Veggie Korma|Coconut curry sauce, roasted garlic, baby spinach leaves, green peppers, pineapple, hot banana peppers, mozzarella + cheddar.
pizza|Chicken|Chicken Club|Jalapeño white sauce, grilled chicken, Canadian ham, bacon, tomatoes + mozzarella.
pizza|Basics|Pepperoni| Organic Italian tomato sauce, pepperoni + mozzarella.
pizza|Basics|Cheese|Organic Italian tomato sauce + mozzarella.
pizza|Meat|BBQ Pulled Pork|Loaded with pulled pork, BBQ sauce, green peppers, fire-roasted tomatoes, hot banana peppers + mozzarella.
pizza|Chicken|BBQ Chicken|BBQ sauce, grilled chicken, bacon, caramelized onions, red peppers, mozzarella + cheddar.
pizza|Veggie|Veggie Mediterranean|Fresh passata tomato sauce, fire-roasted tomatoes, kalamata olives, red peppers, baby spinach leaves, red onions, feta + mozzarella.
pizza|Veggie|Primo Vegetarian|Pesto sauce, fire-roasted tomatoes, red peppers, baby spinach leaves, caramelized onions, roasted garlic, formaggio blend + mozzarella.
pizza|Meat|New York Deli|Organic Italian tomato sauce, pepperoni, Genoa salami, bacon, Canadian ham, spicy Italian sausage, mozzarella + cheddar.
drink|Pop|7-Up|
drink|Pop|Dr. Pepper|
drink|Pop|Pepsi|
pizza|Chicken|Chipotle Chicken|Chipotle cilantro sauce
drink|Juice|Apple Juice|
pizza|Basics|Ham and Pineapple|Organic Italian tomato sauce, Canadian ham, pineapple + mozzarella.
pizza|Veggie|Garden Veggie|Organic Italian tomato sauce, black olives, sautéed mushrooms, roasted garlic, pineapple, green peppers, fire-roasted tomatoes, red onions + mozzarella.
drink|Juice|Orange Juice|
drink|Juice|Lemonade|
pizza|Meat|Carnitas Pork Taco|Topped with fresh salsa, pulled pork, red onions, mozzarella, sour cream, lettuce, fresh tomatoes + cheddar.
pizza|Meat|Triple Pepperoni|Loaded with three types of pepperoni, including Deli-Style, Dry Cured and Double Smoked made from pork raised without the use of antibiotics, it's crafted with pepperoni lovers in mind.
